job_key,job_title,salary_low,salary_high,is_remote,job_type
job-b10e5cb51a13c324,Data Scientist (Virtual),"$125,000","$195,000",Y,Full-time (i)
job-e8a473850d959a23,2023 SETUP Technology Full Time Program – Data Scientist - New York,"$55,000","$100,000",N,Full-time
job-0d75247d02f8f6cc,Junior Data Scientist - Remote US,$71.2K,$90.1K,Y,Full-time (i)
job-7643c252a8adfc44,Data Scientist,$96K,$122K,Y,Full-time (i)
job-fe6e382847752143,Data Scientist,"$130,000","$130,000",Y,Full-time
job-cbb61a06e49005bc,Data Analyst,0,0,N,Full-time (i)
job-6a21a438fb945acc,Data Scientist,$117K,$148K,N,Contract
job-82ee34db05f0eb2d,Data Analyst-Library Science,"$62,800","$106,500",N,Full-time
job-fc0b543c87373a96,Population Health Visualization Data Analyst,0,0,Y,Full-time
job-750b62e08897ec82,Data Scientist (Remote),$86.8K,$110K,Y,Full-time
job-a5cff3ffc1c3af5b,Data Scientist,$93K,$118K,N,Full-time
job-31f050977b6b88e7,Director - Data Science,$133K,$168K,N,Full-time
job-227657f7f2463141,"Associate Data Scientist, 2023 Graduate",$80K,$101K,N,Full-time
job-e81231b39cf512d0,"Data Scientist, Analytics II #0000",0,0,Y,Full-time
job-f3b76ca213fd1cf9,Data Scientist Consultant,$120K,$152K,N,Full-time (i)
job-baa9f2f660caba87,Data Science Associate (Remote),$83.8K,$106K,Y,Full-time
job-1dd50198e8aea5f9,"Scientist, Data Science",0,0,N,Full-time (i)
job-d34b38d321e035d3,Data Analyst,"$75,000","$75,000",N,Full-time
job-44148c70c1a0ea67,Data Scientist,"$110,000","$120,000",N,Full-time
job-16ab7189e6f995cf,Data Engineer,$104K,$131K,Y,Full-time
job-7ee1adc8e27a53a3,Data Scientist,$89.5K,$113K,N,Full-time (i)
job-dc37b651dfb87d1e,Data Engineer,"$81,000","$99,000",Y,Full-time
job-f8e595ba86d40c02,Data Scientist - Climate Risk Modeling,$122K,$154K,Y,Full-time (i)
job-575667043de017a1,Staff Data Scientist,$132K,$168K,Y,Full-time
job-5bcdf819a19dde12,2023 University Graduate - Data Scientist,0,0,N,Full-time
job-deb1ca954a3ed441,Data Visualization Specialist,$58K,$73.5K,Y,Contract
job-937e42ce4eec4933,Staff Data Scientist (Mailchimp),$95.5K,$121K,N,Full-time (i)
job-7e163e5a8e1c5cbf,Data Scientist,"$57,600","$85,800",N,Full-time
job-c5c10211b71b9b8f,Data Scientist Co-Op (Spring 2023),$92.8K,$117K,Y,Full-time (i)
job-62bd43ec8c8768ae,Data Analyst,$93K,$118K,Y,Contract
job-fd0991eae6ebba1f,"Associate Data Scientist, Operations Decision Science",$69.8K,$88.4K,N,Full-time (i)
job-4df9eab753fc82ce,"Data Scientist (Deep Learning, ML, NLP)",$154K,$195K,Y,Full-time (i)
job-e3f1da7cc0f1079c,"Data Scientist, F&S",$136K,$173K,Y,Full-time
job-67037e14b564d5f5,Data Scientist,$105K,$133K,N,Full-time
job-3af02d93417e951c,Junior Data Scientist,"$55,000","$60,000",Y,Internship
job-1cb5ddaff3d99e8b,"Data Scientist, Viral Genomics",0,0,N,Full-time
job-e7ba1b1f53d93324,Economic Data Scientist,"$90,000","$150,000",N,Full-time
job-78a4022911f63755,Associate Data Scientist,$70.4K,$89.1K,N,Full-time
job-17bc43b431871b45,Data Analyst,$47.4K,$60K,N,Full-time
job-a05a6d5b47ba410b,Data Scientist,$111K,$141K,Y,Full-time (i)
job-e264c4aba9211354,Data Analyst,$66.8K,$84.6K,N,Full-time (i)
job-2331eec5e4e44055,Data Scientist (Remote),$106K,$134K,Y,Full-time
job-1adf265cf6f45232,Data Scientist,$130K,$164K,Y,Full-time (i)
job-d13253bb2626a9c8,Data Engineer,"$54,000","$140,000",N,Full-time
job-2a1e68cf23e75808,Data Scientist,0,0,N,Full-time (i)
job-30f80792440292e7,"Senior Associate, Data Science (R-13261)",$73K,$92.5K,Y,Full-time
job-51a9496d787b39c0,Biomedical Data Scientist - Health Technologies,0,0,N,Full-time
job-01902d8707f063a4,Data Scientist I,$74.3K,$94.1K,Y,Full-time
job-4d9c7104fe8f3182,Data Scientist,"$130,000","$159,000",Y,Full-time (i)
job-8f6a733c2512f3b8,Data Scientist,$84.5K,$107K,N,Full-time
job-54db6aa73c78afa1,Data Scientist,$83.6K,$106K,N,Full-time
job-62753bd28b0589dc,Data Engineer (Remote worldwide),"$155,500","$155,500",Y,Full-time
job-233493435dd70c94,Data Scientist (1386547),$116K,$147K,N,Full-time (i)
job-e766c04c226a1dbf,"Data Scientist, CV/NLP",$94.9K,$120K,Y,Full-time
job-92a06e8f05ff1719,Data Scientist,"$150,000","$160,000",N,Full-time
job-63bec62e3fe37cef,Data Scientist - Marketing,0,0,Y,Full-time
job-5c4cc0a38cc4fd1c,Data Scientist 3,$92.2K,$117K,N,Full-time
job-6c280d306581b014,Data Review Associate Scientist - Biochemistry,0,0,N,Full-time
job-4c0d9395ce3542ca,"Staff Data Scientist, Guest & Host","$180,000","$245,000",Y,Full-time (i)
job-a88fddbc4eff63ec,Data Scientist - SOCOM,$98.8K,$125K,N,Full-time
job-1bd75dfa708037d4,Data Scientists,$99.1K,$125K,N,Full-time (i)
job-38ae3e9b8611137d,Data Scientist,"$80,000","$80,000",Y,Full-time
job-5062462d0a68c093,Data Scientist,0,0,N,Full-time
job-2b7f43aae2c37421,"Data Scientist, Risk",$117K,$148K,N,Full-time (i)
job-d51427de90fbee90,Senior Data Scientist,$136K,$172K,Y,Full-time (i)
job-8c9793903a49dd78,Data Scientist,"$70,000","$80,000",N,Full-time
job-629cb3acc17b00de,Data Scientist (Contract),$96.2K,$122K,N,Contract
job-7d34cb7b5c324187,Data Scientist,$100K,$127K,Y,Full-time (i)
job-f1d0a408b3ca594c,Data Scientist,$102K,$130K,N,Full-time
job-691fbf2482f56d85,Machine Learning Engineer,$97.4K,$123K,N,Full-time (i)
job-42a78e91d010b05d,Data Science Graduate,$104K,$131K,N,Full-time
job-93bf766fe8c1b26e,Staff Data Scientist,"$142,800","$265,200",N,Full-time
job-f7b2e9206e2fd91c,Data Scientist,$128K,$162K,Y,Full-time (i)
job-ac7ecf778e717323,Technical Prof-Data Science (Associate - Senior),0,0,N,Full-time
job-56e03cc91fff1752,Product Data Scientist,0,0,N,Full-time (i)
job-176a47d38fffb257,Data Scientist,0,0,N,Full-time
job-a64a91d7ea3e62e0,Trading/Quantitative Modeling | Analyst | New York,0,0,N,Full-time
job-378637ce972ec692,Data Scientist,"$120,000","$180,000",Y,Full-time
job-aaa2eecaa08fa2cb,Data Scientist,"$150,000","$180,000",N,Full-time
job-08b2dfdc34ef2351,Data Science Analyst,0,0,N,Full-time
job-a4d05dd1360ad3a0,Data and Research Analyst,"$70,000","$70,000",N,Full-time
job-319710555117dbdc,Data Analyst,$19,$26,Y,Internship
job-7a07720220241ddc,Data Scientist Co-Op (Spring 2023),$103K,$131K,Y,Full-time (i)
job-ee4db6c86845c153,Data Scientist,"$80,000","$100,000",Y,Full-time
job-e9d9c0cd33be8957,Data Scientist,$112K,$142K,N,Full-time
job-a1693f58770af7c5,"Principal Data Scientist, Ecosystem",$170K,$215K,N,Full-time
job-33a5380c2fb99063,Data Scientist | Remote-US,$91.5K,$116K,Y,Full-time
job-6d5726c075d2dd9d,Data Scientist,$88K,$111K,Y,Full-time
job-7c2a03352de79a53,Clinical Data Analyst,0,0,Y,Full-time (i)
job-97d822e65cb2cb7b,"Staff Data Scientist, ML Ops",$135K,$171K,Y,Internship
job-6bfad109b485e172,"Manager, Data Science",$86.2K,$109K,N,Full-time (i)
job-711d5dc27c5900d3,Data Scientist,$113K,$143K,N,Full-time
job-5fff07e6e2b3e0b1,"Data Strategy, Data Scientist – Equity Research","$100,000","$110,000",N,Full-time
job-3cec83dc45f5811a,Data Scientist II,$81.8K,$104K,N,Full-time
job-20aaed49d55b16de,Data Scientist I,$75K,$94.9K,N,Full-time
job-85014d5fc8422ca9,Data Scientist,"$70,000","$110,000",N,Full-time
job-4cedb157a4815968,Data Engineer,$100K,$127K,Y,Full-time
job-fa1487d5e35b1d3d,Azure ML Data scientist,$114K,$144K,Y,Contract
job-5eaa1f0b29171fa8,Data Science Co-Op,$94.2K,$119K,N,Full-time (i)
job-094f305c57858a88,Data Scientist,$122K,$154K,N,Full-time
job-7e623bea8d4ad31f,Data Scientist II,0,0,Y,Full-time
job-375f10c6aa43360e,Senior Data Scientist,$121K,$153K,Y,Full-time
job-75328ee278c7b732,Planner Climate and Data Science,0,0,N,Full-time (i)
job-530460f870702843,Data Analyst,$80.9K,$102K,Y,Full-time
job-6a96e1b1c4aea9bb,Data Scientist Advanced Development Program,$84.2K,$107K,N,Full-time (i)
job-a11a9ecd3ead3b85,Decision Science Data Analyst - Media (hybrid),$80.8K,$102K,N,Full-time (i)
job-ce2084ae0ccf4bb7,Junior Data Scientist,$69.3K,$87.8K,N,Full-time
job-3239a1fa7c5a474b,Junior Data Scientist,$81.2K,$103K,N,Contract
job-7bfaa1e9364874f6,Data Analyst,$85.1K,$108K,N,Full-time
job-acb88de900421828,Water Resources Data Scientist - Snow Hydrology,0,0,Y,Full-time
job-9c58a08b1394a86f,Data Scientist,$89.6K,$113K,N,Full-time
job-01bc99b11ef5cfb9,Data Scientist I,$98.2K,$124K,N,Full-time
job-b860aab171ecb208,Data Scientist,$85.3K,$108K,N,Full-time
job-1f0af9e4705a18eb,2023 University Graduate - Data Science 1,$84.8K,$107K,N,Full-time
job-9bd2e03ab5f5ff5b,Sustainability Data Analyst,0,0,N,Full-time (i)
job-6c2760da1306cdb2,Data Scientist,$119K,$151K,Y,Full-time
job-beb33b8adc578f74,Data Scientist - Statistical Scientist,$109K,$138K,N,Full-time
job-8777ba03d007b1b3,Machine Learning Engineer,$112K,$142K,N,Full-time
job-ebd17b92334863fc,Chief Technology Officer,"$300,000","$400,000",N,Full-time
job-d68c01ba67d0bbcb,Data Scientist,0,0,N,Full-time (i)
job-bab2d2e950d5ad3c,Jr. Data Scientist with TS/SCI Poly,"$74,750","$155,250",N,Full-time
job-bc4fc772e60ee82d,Forensic Data Science Associate - Summer/Fall 2023 (National),$62.2K,$78.8K,N,Full-time (i)
job-54bf2be3f86d76fd,Data Scientist,$120K,$151K,N,Full-time
job-4e36abb4c8802708,"Data Scientist, Baseball Research & Development",$105K,$133K,Y,Full-time (i)
job-98d13b8ba69ceadd,Forensic Scientist Data Review I (NDOT),0,0,N,Full-time
job-6d029acc7384b9e2,Data Evaluator for Hot,$99K,$125K,Y,Full-time (i)
job-c9fd841a8d2c81fa,Data Scientist,0,0,N,Full-time
job-73fb2d142e07d648,Data Scientist,$79K,$100K,N,Full-time
job-4484d7039ddfc55e,Data Scientist,$90.6K,$115K,N,Full-time (i)
job-50387d446166e1d0,ArborCount Data Technician,$57.5K,$72.7K,Y,Full-time (i)
job-5d7fcd1854c2e58f,Data Engineer,"$95,000","$105,000",Y,Full-time
job-50bda7b9d0d3a40b,Data Scientist,$101K,$127K,N,Full-time (i)
job-00d80147a1b5d603,Data Scientist,$106K,$134K,N,Full-time (i)
job-43087b7ed6a1a3b8,Data Scientist,$109K,$138K,Y,Full-time (i)
job-f1ba11427b4dece6,"Senior Data Analyst, Supply Chain (Remote)",0,0,Y,Full-time (i)
job-18bd709e00fbc35d,Data Scientist,$127K,$160K,N,Full-time
job-b8de7493c963d2d1,Data Scientist,"$86,900","$127,500",N,Full-time
job-9fc8a6e37ca34d22,Associate Data Analyst,$53.8K,$68.1K,N,Part-time
job-7dc55e392f6902ba,Senior Data Scientist,0,0,N,Full-time (i)
job-137db19521390290,Data Science Trainee,0,0,N,Internship
job-75072514becfb9ca,Clinical Data Scientist - Contract,$107K,$135K,Y,Contract
job-2b4f6660895f9574,Data Analyst,"$80,000","$110,000",N,Full-time
