job_key,job_title,salary_low,salary_high,is_remote,job_type
job-d23bf8bf628e59a6,Data Analytics Data Scientist,$107K,$136K,N,Full-time (i)
job-99fda8644c48cb0f,Data Scientist (FT),"$85,000","$100,000",N,Full-time
job-0ec984e59d3ce730,Data Scientist,$104K,$132K,Y,Full-time
job-c3a7d3c94ef3a0e1,Sr Data Scientist - Innovation,"$80,000","$195,000",N,Full-time
job-266dae378e31712d,Data Analyst,$63.3K,$80.2K,Y,Full-time
job-678f1f56ecb9b876,Data Scientist,0,0,N,Full-time (i)
job-1d6ea52576020fee,Data Scientist,$75.6K,$95.7K,Y,Full-time (i)
job-280e08ef04cb7740,Data Scientist,$90.9K,$115K,Y,Full-time
job-2c189f217200e1c2,"Junior Researcher, Data Science",$69.2K,$87.6K,N,Full-time (i)
job-ce21f238f24eb496,Cybersecurity and Data Science,$55K,$69.7K,N,Full-time (i)
job-754556627e42fc84,Data Scientist - Remote,$104K,$132K,Y,Full-time
job-50fc6373c08e9d19,Data Labeler,$82.7K,$105K,N,Full-time (i)
