qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.012239217758178711,0.028242111206054688,0.025211095809936523,0.16504883766174316,0.08854198455810547,0.08571386337280273,0.04320812225341797
0.007910013198852539,0.024616241455078125,0.025922060012817383,0.15821504592895508,0.08293509483337402,0.08516716957092285,0.0428471565246582
0.00795602798461914,0.02511286735534668,0.024541139602661133,0.1595783233642578,0.08621883392333984,0.08988809585571289,0.04543733596801758
0.008413314819335938,0.030144929885864258,0.026880979537963867,0.16089797019958496,0.08752703666687012,0.08736681938171387,0.04393172264099121
0.008532047271728516,0.025888681411743164,0.023769140243530273,0.16309881210327148,0.08829402923583984,0.08578205108642578,0.043837785720825195
0.00815892219543457,0.026281118392944336,0.02907085418701172,0.16408205032348633,0.08808493614196777,0.08687591552734375,0.043437957763671875
0.008060932159423828,0.024806737899780273,0.025751829147338867,0.1701500415802002,0.08642196655273438,0.08841085433959961,0.0428009033203125
0.007950782775878906,0.02508711814880371,0.024595975875854492,0.1710500717163086,0.08860015869140625,0.08646988868713379,0.044445037841796875
0.009687662124633789,0.02710413932800293,0.026459932327270508,0.16826105117797852,0.08808708190917969,0.0899960994720459,0.04661703109741211
0.008831024169921875,0.026075124740600586,0.024101972579956055,0.16025805473327637,0.08742713928222656,0.08598113059997559,0.04427218437194824
0.00918889045715332,0.026800870895385742,0.02817821502685547,0.16690921783447266,0.08681011199951172,0.08580493927001953,0.04393196105957031
0.008718729019165039,0.030425071716308594,0.02675914764404297,0.17317700386047363,0.08635497093200684,0.08615303039550781,0.04282116889953613
0.008256912231445312,0.026456117630004883,0.024478912353515625,0.16344213485717773,0.08471202850341797,0.08515810966491699,0.043200016021728516
0.00889277458190918,0.0255739688873291,0.024595975875854492,0.16011595726013184,0.08482599258422852,0.08532094955444336,0.0441441535949707
0.00840902328491211,0.02432417869567871,0.027664899826049805,0.17171192169189453,0.09298872947692871,0.08771181106567383,0.04300427436828613
0.007966995239257812,0.026566028594970703,0.02741694450378418,0.1724250316619873,0.08664798736572266,0.08817386627197266,0.046495914459228516
0.008568048477172852,0.029942989349365234,0.02742791175842285,0.16719293594360352,0.08855295181274414,0.09234285354614258,0.04640603065490723
0.008645296096801758,0.027216196060180664,0.026569128036499023,0.16797995567321777,0.08543896675109863,0.08584403991699219,0.04281497001647949
0.00796818733215332,0.026817798614501953,0.027676820755004883,0.156785249710083,0.08897924423217773,0.08562302589416504,0.042732954025268555
0.007997989654541016,0.023807048797607422,0.02476787567138672,0.1622939109802246,0.08692789077758789,0.08555006980895996,0.042421817779541016
0.007768869400024414,0.02804088592529297,0.02480602264404297,0.16369104385375977,0.08548998832702637,0.08616876602172852,0.043267011642456055
0.008168935775756836,0.029935836791992188,0.027053117752075195,0.17145872116088867,0.08623099327087402,0.0912027359008789,0.05123090744018555
0.010808229446411133,0.02830195426940918,0.02961421012878418,0.17551016807556152,0.09125089645385742,0.09287405014038086,0.0463871955871582
0.008196115493774414,0.02626800537109375,0.026082754135131836,0.18333697319030762,0.09639883041381836,0.09409904479980469,0.04829287528991699
0.009747982025146484,0.028937816619873047,0.03008103370666504,0.19318413734436035,0.10451889038085938,0.08863282203674316,0.04386115074157715
0.007804155349731445,0.022978782653808594,0.024122953414916992,0.16095805168151855,0.09317302703857422,0.0966489315032959,0.04902982711791992
0.009416341781616211,0.03151297569274902,0.027238845825195312,0.18397903442382812,0.0999443531036377,0.0955650806427002,0.049468994140625
0.008831024169921875,0.031661033630371094,0.03165793418884277,0.18631792068481445,0.0949089527130127,0.09708285331726074,0.04488992691040039
0.008783817291259766,0.02632594108581543,0.0286557674407959,0.1758739948272705,0.09224128723144531,0.09540772438049316,0.04880380630493164
0.009855985641479492,0.030600309371948242,0.029017925262451172,0.1775209903717041,0.0859079360961914,0.08575916290283203,0.04388594627380371
